name,id,nametype,recclass,mass (g),fall,year,reclat,reclong
Great Sand Sea 007,11187,Valid,H6,1450,Found,1/1/96 00:00,26.91028,26.15167
Dar al Gani 155,5703,Valid,H5,1380,Found,1/1/96 00:00,27.15617,16.029
Dar al Gani 191,5739,Valid,CO3,1379,Found,1/1/96 00:00,27.1615,15.95083
Elephant Moraine 96020,9614,Valid,L6,1307.5,Found,1/1/96 00:00,-76.18333,157.16667
Hammadah al Hamra 186,11669,Valid,LL6,1280,Found,1/1/96 00:00,28.71217,13.27367
Hammadah al Hamra 194,11677,Valid,L4,1255,Found,1/1/96 00:00,28.65517,13.47017
Dar al Gani 142,5691,Valid,H5/6,1225,Found,1/1/96 00:00,27.24733,16.39733
Hammadah al Hamra 171,11654,Valid,H5,1195,Found,1/1/96 00:00,28.61883,13.36267
Hammadah al Hamra 176,11659,Valid,L6,1147,Found,1/1/96 00:00,28.6595,13.30567
Hammadah al Hamra 181,11664,Valid,LL4-6,1133,Found,1/1/96 00:00,28.5845,12.9045
Hammadah al Hamra 167,11650,Valid,LL4-5,1055,Found,1/1/96 00:00,28.87683,12.42017
Dar al Gani 148,5696,Valid,H5,1006,Found,1/1/96 00:00,27.04567,16.3795
Hammadah al Hamra 180,11663,Valid,Chondrite-ung,936,Found,1/1/96 00:00,28.6035,13.30067
Meteorite Hills 96502,16561,Valid,L6,915.6,Found,1/1/96 00:00,-79.68333,159.75
Elephant Moraine 96021,9615,Valid,L6,898.5,Found,1/1/96 00:00,-76.18333,157.16667
Elephant Moraine 96023,9617,Valid,H6,897,Found,1/1/96 00:00,-76.18333,157.16667
Meteorite Hills 96509,16568,Valid,L6,896.9,Found,1/1/96 00:00,-79.68333,159.75
Dar al Gani 223,5771,Valid,L6,890,Found,1/1/96 00:00,27.495,16.259
Dar al Gani 125,5675,Valid,H6,860,Found,1/1/96 00:00,27.1205,16.11217
Elephant Moraine 96029,9623,Valid,CM2,848.28,Found,1/1/96 00:00,-76.18333,157.16667
Hammadah al Hamra 172,11655,Valid,L5,843,Found,1/1/96 00:00,28.62217,13.3205
Dar al Gani 101,5627,Valid,H6,842,Found,1/1/96 00:00,27.1295,16.06867
Dar al Gani 095,5611,Valid,L5,840,Found,1/1/96 00:00,27.10683,16.51617
Dar al Gani 146,5694,Valid,H6,837,Found,1/1/96 00:00,27.03367,16.4055
Dar al Gani 222,5770,Valid,LL5-6,837,Found,1/1/96 00:00,27.45333,16.31267
Dar al Gani 188,5736,Valid,CO3,828,Found,1/1/96 00:00,27.1705,15.94517
Dar al Gani 169,5717,Valid,L6,814,Found,1/1/96 00:00,27.63567,16.87778
Tsukuba,24059,Valid,H5-6,800,Fell,1/1/96 00:00,36.06333,140.145
Dar al Gani 170,5718,Valid,H5-6,759,Found,1/1/96 00:00,27.69983,15.72694
Dar al Gani 204,5752,Valid,CO3,720,Found,1/1/96 00:00,27.15117,15.9665
Dar al Gani 220,5768,Valid,H5,719,Found,1/1/96 00:00,27.37883,16.45383
Elephant Moraine 96022,9616,Valid,L6,687,Found,1/1/96 00:00,-76.18333,157.16667
Dar al Gani 178,5726,Valid,L6,640,Found,1/1/96 00:00,27.141,16.16783
Elephant Moraine 96028,9622,Valid,L6,636.4,Found,1/1/96 00:00,-76.18333,157.16667
Meteorite Hills 96508,16567,Valid,L6,629.2,Found,1/1/96 00:00,-79.68333,159.75
Hammadah al Hamra 169,11652,Valid,H5,623,Found,1/1/96 00:00,28.589,13.0985
Dar al Gani 127,5677,Valid,H6,619,Found,1/1/96 00:00,27.13317,16.16333
Meteorite Hills 96504,16563,Valid,L5,618.2,Found,1/1/96 00:00,-79.68333,159.75
Dar al Gani 116,5666,Valid,H5,615,Found,1/1/96 00:00,27.19583,16.01317
Dar al Gani 183,5731,Valid,L6,612,Found,1/1/96 00:00,27.07717,16.39817
Dar al Gani 186,5734,Valid,CO3,599,Found,1/1/96 00:00,27.10267,16.02833
Dar al Gani 103,5644,Valid,L5,594,Found,1/1/96 00:00,27.17017,16.0355
Meteorite Hills 96500,16559,Valid,Howardite,592.9,Found,1/1/96 00:00,-79.68333,159.75
Dar al Gani 194,5742,Valid,CO3,581,Found,1/1/96 00:00,27.09967,16.03467
Bur-Abor,5166,Valid,"Iron, IIIAB",290000,Found,1/1/97 00:00,3.98333,41.65
El Hammami,7806,Valid,H5,240000,Found,1/1/97 00:00,23.28333,-10.81667
Juancheng,12203,Valid,H5,100000,Fell,1/1/97 00:00,35.5,115.41667
Tiffa 001,23991,Valid,H5,26900,Found,1/1/97 00:00,19.949,11.933
Cerro del Inca,5309,Valid,"Iron, IIIF",20600,Found,1/1/97 00:00,-22.21667,-68.90833
Souslovo,23673,Valid,L4,19300,Found,1/1/97 00:00,55.4295,55.78727
Dar al Gani 956,6496,Valid,L6,15000,Found,1/1/97 00:00,27.13267,15.9925
Hammadah al Hamra 236,11719,Valid,L4,8261,Found,1/1/97 00:00,28.52633,13.06517
Dar al Gani 487,6035,Valid,L6,8189,Found,1/1/97 00:00,27.38333,16.41667
Dar al Gani 256,5804,Valid,LL5-6,7141,Found,1/1/97 00:00,27.06117,16.17817
Dar al Gani 551,6099,Valid,L6,5265,Found,1/1/97 00:00,27.27683,16.12567
Tiffa 002,23992,Valid,H4/5,4705,Found,1/1/97 00:00,19.696,11.52683
Abu Moharek,9,Valid,H4,4500,Found,1/1/97 00:00,27.23944,29.83583
Dar al Gani 502,6050,Valid,L6,4242,Found,1/1/97 00:00,27.28883,16.11533
Dar al Gani 318,5866,Valid,H3,4236,Found,1/1/97 00:00,27.14317,15.873
Hammadah al Hamra 220,11703,Valid,H4,4153,Found,1/1/97 00:00,28.932,12.62533
Queen Alexandra Range 97006,20413,Valid,H5,4057.5,Found,1/1/97 00:00,-84,168
Hammadah al Hamra 222,11705,Valid,L6,3393,Found,1/1/97 00:00,29.187,11.60167
Primm,18889,Valid,H5,3383,Found,1/1/97 00:00,35.66667,-115.36667
Dar al Gani 313,5861,Valid,L/LL3,3294,Found,1/1/97 00:00,26.80733,15.9015
Dar al Gani 488,6036,Valid,L6,3259,Found,1/1/97 00:00,27.26667,16.11667
Hammadah al Hamra 237,11720,Valid,CBb,3173,Found,1/1/97 00:00,28.60933,13.04917
Queen Alexandra Range 97018,20425,Valid,L6,2883.9,Found,1/1/97 00:00,-84,168
Hammadah al Hamra 223,11706,Valid,L6,2833,Found,1/1/97 00:00,29.18633,11.60567
Dar al Gani 323,5871,Valid,L4,2711,Found,1/1/97 00:00,28.3,15.7175
Hammadah al Hamra 250,11733,Valid,H5,2650,Found,1/1/97 00:00,28.82867,12.92833
Hammadah al Hamra 218,11701,Valid,LL4-6,2540,Found,1/1/97 00:00,28.64483,13.323
Hammadah al Hamra 225,11708,Valid,H4-5,2469,Found,1/1/97 00:00,28.95933,12.334
Dar al Gani 298,5846,Valid,LL4,2459,Found,1/1/97 00:00,26.78917,16.70467
Dar al Gani 251,5799,Valid,L6,2412,Found,1/1/97 00:00,27.11583,16.37683
Queen Alexandra Range 97001,20408,Valid,Howardite,2358.3,Found,1/1/97 00:00,-84,168
Hammadah al Hamra 248,11731,Valid,H3.9,2345,Found,1/1/97 00:00,28.643,12.77533
Dar al Gani 489,6037,Valid,Martian (shergottite),2146,Found,1/1/97 00:00,27.13333,16.08333
Hammadah al Hamra 227,11710,Valid,H4-5,1920,Found,1/1/97 00:00,28.66,12.64833
Dar al Gani 248,5796,Valid,H6,1890,Found,1/1/97 00:00,27.20667,16.2045
Hammadah al Hamra 205,11688,Valid,H5,1880,Found,1/1/97 00:00,28.56517,13.27633
Hammadah al Hamra 214,11697,Valid,H6,1637,Found,1/1/97 00:00,28.50267,13.23133
Hammadah al Hamra 240,11723,Valid,L4,1624,Found,1/1/97 00:00,29.44983,11.36117
Dar al Gani 294,5842,Valid,LL4,1616,Found,1/1/97 00:00,27.202,16.36733
Dar al Gani 391,5939,Valid,Eucrite-pmict,1605,Found,1/1/97 00:00,27.35683,16.167
Dar al Gani 497,6045,Valid,H5,1604,Found,1/1/97 00:00,27.20333,16.0715
Dar al Gani 544,6092,Valid,H5,1589,Found,1/1/97 00:00,26.96333,16.45933
Hammadah al Hamra 241,11724,Valid,L6,1579,Found,1/1/97 00:00,29.44367,11.35383
Dar al Gani 521,6069,Valid,CV3,1567,Found,1/1/97 00:00,27.311,16.234
Worden,24337,Valid,L5,1551,Fell,1/1/97 00:00,42.38467,-83.6115
Tindouf,24005,Valid,H6,1550,Found,1/1/97 00:00,27.75,-8.13333
Kimba,12310,Valid,H4,1492,Found,1/1/97 00:00,-33.21667,136.41667
Hammadah al Hamra 242,11725,Valid,L5,1440,Found,1/1/97 00:00,29.04117,12.88567
Dar al Gani 647,6194,Valid,Eucrite-mmict,1425,Found,1/1/97 00:00,27.16667,16.13333
Queen Alexandra Range 97002,20409,Valid,Howardite,1384.3,Found,1/1/97 00:00,-84,168
Queen Alexandra Range 97003,20410,Valid,CM2,1384.3,Found,1/1/97 00:00,-84,168
Dar al Gani 734,6281,Valid,EL4,1378,Found,1/1/97 00:00,27.13183,16.05
Tiffa 004,23994,Valid,H5,1362,Found,1/1/97 00:00,19.955,11.87517
Dar al Gani 232,5780,Valid,H5,1338,Found,1/1/97 00:00,27.16583,16.08617
Vissannapeta,24188,Valid,Eucrite-cm,1303.8,Fell,1/1/97 00:00,16.83333,80.75
Queen Alexandra Range 97012,20419,Valid,LL6,1272.5,Found,1/1/97 00:00,-84,168
Hammadah al Hamra 217,11700,Valid,H4-5,1267,Found,1/1/97 00:00,28.548,13.0285
Dar al Gani 570,6117,Valid,L4/5,1250,Found,1/1/97 00:00,27.547,15.85933
Hammadah al Hamra 221,11704,Valid,H4-5,1227,Found,1/1/97 00:00,29.22083,11.54067
Hammadah al Hamra 213,11696,Valid,L3-6,1209,Found,1/1/97 00:00,28.482,13.31867
Dar al Gani 322,5870,Valid,H4,1126,Found,1/1/97 00:00,27.09917,16.14033
Dar al Gani 558,6106,Valid,L5,1125,Found,1/1/97 00:00,27.54767,15.847
Adrar Madet,385,Valid,H5/6,1113,Found,1/1/97 00:00,18.5,10.4
Hammadah al Hamra 206,11689,Valid,L6,1100,Found,1/1/97 00:00,28.58883,13.334
Dar al Gani 333,5881,Valid,H5-6,1050,Found,1/1/97 00:00,27.13017,16.23183
Dar al Gani 500,6048,Valid,H4/5,1030,Found,1/1/97 00:00,27.33083,16.28317
Dar al Gani 369,5917,Valid,H/L3.5,1001,Found,1/1/97 00:00,27.94867,15.90133
Dar al Gani 501,6049,Valid,L5,992,Found,1/1/97 00:00,27.30033,16.17767
Dar al Gani 364,5912,Valid,L6,982,Found,1/1/97 00:00,27.83933,15.89183
Dar al Gani 231,5779,Valid,CO3,932,Found,1/1/97 00:00,27.1685,15.95833
Dar al Gani 381,5929,Valid,L6,930,Found,1/1/97 00:00,27.4345,16.12267
Queen Alexandra Range 97028,20435,Valid,LL5,910.9,Found,1/1/97 00:00,-84,168
Dar al Gani 515,6063,Valid,H5,894,Found,1/1/97 00:00,27.08983,16.08667
Poolowanna,18867,Valid,H5,875,Found,1/1/97 00:00,-29.83167,136.85867
Dar al Gani 379,5927,Valid,L6,875,Found,1/1/97 00:00,27.87417,15.88717
Hammadah al Hamra 251,11734,Valid,L5,870,Found,1/1/97 00:00,28.95967,12.87117
Dar al Gani 351,5899,Valid,H5,858,Found,1/1/97 00:00,27.17867,16.259
Dar al Gani 493,6041,Valid,H4,850,Found,1/1/97 00:00,26.99167,15.7745
Queen Alexandra Range 97029,20436,Valid,L6,824.7,Found,1/1/97 00:00,-84,168
Hammadah al Hamra 224,11707,Valid,L6,820,Found,1/1/97 00:00,29.31867,12.01017
Hammadah al Hamra 230,11713,Valid,H5,809,Found,1/1/97 00:00,29.14233,11.88317
Hammadah al Hamra 246,11729,Valid,LL6,796.69,Found,1/1/97 00:00,28.421,12.88683
Dar al Gani 267,5815,Valid,L5,791,Found,1/1/97 00:00,27.11133,16.27967
Dar al Gani 484,6032,Valid,H6,786,Found,1/1/97 00:00,27.2,16.1
Dar al Gani 386,5934,Valid,H5/6,772,Found,1/1/97 00:00,27.44317,16.1855
Dar al Gani 319,5867,Valid,Ureilite-pmict,740,Found,1/1/97 00:00,27.028,16.35867
Hammadah al Hamra 203,11686,Valid,L6,740,Found,1/1/97 00:00,28.44117,12.9795
Dar al Gani 228,5776,Valid,CO3,738,Found,1/1/97 00:00,27.13717,15.8445
Dar al Gani 290,5838,Valid,L5/6,730,Found,1/1/97 00:00,27.08817,16.0575
Dar al Gani 316,5864,Valid,L6,721,Found,1/1/97 00:00,27.2435,16.081
Dar al Gani 392,5940,Valid,H5,718,Found,1/1/97 00:00,27.42383,16.34
El Atchane 015,54594,Valid,H~4,717,Found,1/1/97 00:00,28.9,4.51667
Grein 001,11197,Valid,H3,710.3,Found,1/1/97 00:00,21.229,10.75633
Dar al Gani 311,5859,Valid,H6,707,Found,1/1/97 00:00,27.1595,16.05283
Queen Alexandra Range 97013,20420,Valid,LL5,706,Found,1/1/97 00:00,-84,168
Dar al Gani 503,6051,Valid,L6,680,Found,1/1/97 00:00,27.2525,16.06967
Queen Alexandra Range 97034,20441,Valid,L4,677.2,Found,1/1/97 00:00,-84,168
Hammadah al Hamra 229,11712,Valid,L6,666,Found,1/1/97 00:00,29.17617,11.63383
Dar al Gani 380,5928,Valid,Eucrite-mmict,661,Found,1/1/97 00:00,27.44217,16.08217
Lewis Cliff 97208,14621,Valid,L6,660.7,Found,1/1/97 00:00,-84.26667,161.5
Dar al Gani 274,5822,Valid,L6,657,Found,1/1/97 00:00,27.25117,16.07333
Hammadah al Hamra 254,11737,Valid,L5-6,649.6,Found,1/1/97 00:00,29.1025,11.95433
Dar al Gani 363,5911,Valid,L6,639,Found,1/1/97 00:00,27.84983,15.88583
Hammadah al Hamra 244,11727,Valid,L5-6,636.69,Found,1/1/97 00:00,28.8515,13.40367
Dar al Gani 328,5876,Valid,L6,630,Found,1/1/97 00:00,27.84267,15.8995
Dar al Gani 254,5802,Valid,LL6,617,Found,1/1/97 00:00,27.11267,16.31583
Dar al Gani 306,5854,Valid,H5/6,616,Found,1/1/97 00:00,27.70467,16.18917
Hammadah al Hamra 219,11702,Valid,L4,609,Found,1/1/97 00:00,28.60017,13.4235
Grein 002,11198,Valid,EL4/5,608.9,Found,1/1/97 00:00,20.7145,11.11567
Dar al Gani 272,5820,Valid,L6,607,Found,1/1/97 00:00,27.18383,16.12883
Dar al Gani 485,6033,Valid,Ureilite,596,Found,1/1/97 00:00,27.01767,16.38833
Dar al Gani 340,5888,Valid,Ureilite,591,Found,1/1/97 00:00,27.15133,16.045
Dar al Gani 735,6282,Valid,Martian (shergottite),588,Found,1/1/97 00:00,27.16667,16.16667
Dar al Gani 259,5807,Valid,H6,578,Found,1/1/97 00:00,27.14533,16.08367
Hammadah al Hamra 232,11715,Valid,L6,572,Found,1/1/97 00:00,29.10883,12.012
Hammadah al Hamra 212,11695,Valid,L5,565,Found,1/1/97 00:00,28.48217,13.23917
Tiffa 006,23996,Valid,H5,560.1,Found,1/1/97 00:00,19.91117,11.87517
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1/1/98 00:00,42.25,59.2
Zag,30384,Valid,H3-6,175000,Fell,1/1/98 00:00,27.33333,-9.33333
Zapaliname,30392,Valid,"Iron, IAB-MG",85000,Found,1/1/98 00:00,25.00944,-100.75
Bruceville,5155,Valid,L6,83000,Found,1/1/98 00:00,38.295,-121.405
Portales Valley,18874,Valid,H6,71400,Fell,1/1/98 00:00,34.175,-103.295
Dar al Gani 610,6157,Valid,H4,44000,Found,1/1/98 00:00,26.85,16.73333
Bechar 001,4988,Valid,L6,39000,Found,1/1/98 00:00,30.83333,-3.33333
Graves Nunataks 98186,11176,Valid,H6,29000,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 741,6288,Valid,H4,20500,Found,1/1/98 00:00,27.08167,16.28333
Ourique,18052,Valid,H4,20000,Fell,1/1/98 00:00,37.60833,-8.28
Dar al Gani 477,6025,Valid,L6,16128,Found,1/1/98 00:00,27.74767,16.003
Dar al Gani 595,6142,Valid,H5,14931,Found,1/1/98 00:00,27.63917,15.90133
Bechar 002,4989,Valid,H6,12000,Found,1/1/98 00:00,30.83333,-3.33333
Safsaf,22795,Valid,L6,11870,Found,1/1/98 00:00,30.26667,-4.66667
Dar al Gani 399,5947,Valid,L5,11455,Found,1/1/98 00:00,27.86667,15.94283
Hope Creek,11906,Valid,LL6,9830,Found,1/1/98 00:00,65.38333,-146.26667
Dar al Gani 901,6448,Valid,H4,9000,Found,1/1/98 00:00,27.88083,16.9135
ZakÅ‰odzie,30390,Valid,Enst achon-ung,8680,Found,1/1/98 00:00,50.76278,22.86611
Dar al Gani 638,6185,Valid,H4,8170,Found,1/1/98 00:00,26.95,16.15
Dar al Gani 478,6026,Valid,L6,7367,Found,1/1/98 00:00,27.75467,15.98183
Lahmada,12414,Valid,H6,7360,Found,1/1/98 00:00,27.16667,-9.5
Graves Nunataks 98001,10993,Valid,H5,7296.7,Found,1/1/98 00:00,-86.71667,-141.5
ShiÅôr 025,23560,Valid,L6,7293.48,Found,1/1/98 00:00,18.1074,53.8319
Dashoguz,6604,Valid,H5,7000,Fell,1/1/98 00:00,41.98444,59.685
Zegdou,30398,Valid,H3,6700,Found,1/1/98 00:00,29.75,-4.5
Foum Zguid,10171,Valid,"Iron, IIAB",6000,Found,1/1/98 00:00,30.06667,-6.9
Dar al Gani 406,5954,Valid,"Iron, IAB complex",5100,Found,1/1/98 00:00,28.14033,15.82383
Hammadah al Hamra 259,11742,Valid,H5,5055,Found,1/1/98 00:00,28.75,11.56667
Dar al Gani 470,6018,Valid,L6,4152,Found,1/1/98 00:00,27.78533,15.95233
Chadong,5313,Valid,L6,3700,Fell,1/1/98 00:00,28.53333,109.31667
Mount Leake,45812,Valid,L5,3667,Found,1/1/98 00:00,-25.87667,119.07333
Dar al Gani 575,6122,Valid,H5,3200,Found,1/1/98 00:00,27.217,16.38917
Dar al Gani 969,6509,Valid,L/LL6,3145,Found,1/1/98 00:00,26.98017,16.34967
Dar al Gani 636,6183,Valid,L5,2975,Found,1/1/98 00:00,26.881,16.54917
Dar al Gani 455,6003,Valid,L6,2670,Found,1/1/98 00:00,27.80517,15.92667
Monahans (1998),16719,Valid,H5,2587,Fell,1/1/98 00:00,31.60833,-102.85833
Dar al Gani 859,6406,Valid,L6,2517,Found,1/1/98 00:00,26.98067,16.34633
Lahmada 012,12425,Valid,H5,2510,Found,1/1/98 00:00,27.23333,-9.7585
Graves Nunataks 98049,11041,Valid,L6,2341.9,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 460,6008,Valid,L6,2310,Found,1/1/98 00:00,27.80383,15.921
Graves Nunataks 98031,11023,Valid,H4,2309.8,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 746,6293,Valid,H5,2300,Found,1/1/98 00:00,27.15217,16.10317
Dar al Gani 742,6289,Valid,H5,2222,Found,1/1/98 00:00,27.13333,16.05
Dar al Gani 476,6024,Valid,Martian (shergottite),2015,Found,1/1/98 00:00,27.35267,16.20067
Dar al Gani 463,6011,Valid,L6,1916,Found,1/1/98 00:00,27.01167,15.86483
Dar al Gani 453,6001,Valid,L6,1896,Found,1/1/98 00:00,27.804,15.935
Dar al Gani 608,6155,Valid,L6,1870,Found,1/1/98 00:00,26.97033,16.36083
Dar al Gani 402,5950,Valid,L6,1861,Found,1/1/98 00:00,27.814,15.9115
Dar al Gani 1058,54650,Valid,Lunar (feldsp. breccia),1815,Found,1/1/98 00:00,27.375,16.184
Dar al Gani 624,6171,Valid,L6,1750,Found,1/1/98 00:00,27.3705,16.18833
Dar al Gani 467,6015,Valid,L6,1731,Found,1/1/98 00:00,28.00883,15.84283
Graves Nunataks 98032,11024,Valid,Ureilite,1699.5,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 440,5988,Valid,L6,1561,Found,1/1/98 00:00,27.48333,16.263
Dar al Gani 432,5980,Valid,H4,1555,Found,1/1/98 00:00,27.4475,15.985
Lahmada 011,12424,Valid,H5,1520,Found,1/1/98 00:00,27.23033,-9.7505
Dar al Gani 612,6159,Valid,H5,1492,Found,1/1/98 00:00,27.26917,16.364
Lahmada 015,12428,Valid,H6,1455,Found,1/1/98 00:00,27.2335,-9.75767
Dar al Gani 400,5948,Valid,Lunar (anorth),1425,Found,1/1/98 00:00,27.3695,16.19883
Dar al Gani 635,6182,Valid,H5,1390,Found,1/1/98 00:00,26.90483,16.679
Overland Park,18056,Valid,H4,1374,Found,1/1/98 00:00,38.96667,-94.66667
Lahmada 013,12426,Valid,H6,1373,Found,1/1/98 00:00,27.2335,-9.75817
Dar al Gani 606,6153,Valid,H5,1362,Found,1/1/98 00:00,26.879,16.69783
Dar al Gani 466,6014,Valid,L6,1296,Found,1/1/98 00:00,28.01,15.845
Dar al Gani 461,6009,Valid,L6,1228,Found,1/1/98 00:00,28.019,15.86333
Hammadah al Hamra 258,11741,Valid,L5/6,1210,Found,1/1/98 00:00,28.8585,11.43217
Graves Nunataks 98015,11007,Valid,H5,1201.9,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 600,6147,Valid,H5,1190,Found,1/1/98 00:00,26.91633,16.67483
Dar al Gani 637,6184,Valid,L6,1149,Found,1/1/98 00:00,26.88217,16.65167
Graves Nunataks 98014,11006,Valid,H5,1130.7,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 587,6134,Valid,L6,1105,Found,1/1/98 00:00,27.1515,16.083
Northwest Africa 052,17062,Valid,L5,1088,Found,1/1/98 00:00,31.11667,-5.18333
Dar al Gani 459,6007,Valid,L6,1082,Found,1/1/98 00:00,27.81433,15.9145
Graves Nunataks 98041,11033,Valid,L6,1081.5,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 602,6149,Valid,L6,1055,Found,1/1/98 00:00,26.99317,16.13933
Dar al Gani 737,6284,Valid,L3,1053,Found,1/1/98 00:00,27.1895,16.0645
Dar al Gani 619,6166,Valid,L6,1050,Found,1/1/98 00:00,27.47883,16.30367
Dar al Gani 593,6140,Valid,L6,1040,Found,1/1/98 00:00,27.63917,15.881
Dar al Gani 641,6188,Valid,H5,1030,Found,1/1/98 00:00,26.96417,16.46917
Dar al Gani 397,5945,Valid,L6,1008,Found,1/1/98 00:00,27.81833,15.91533
Jiddat al Harasis 102,12161,Valid,H5,1007.33,Found,1/1/98 00:00,19.51185,56.98178
Lahmada 016,12429,Valid,H5,998,Found,1/1/98 00:00,27.23,-9.75667
Dar al Gani 743,6290,Valid,H6,980,Found,1/1/98 00:00,27.12067,16.084
Dar al Gani 414,5962,Valid,L6,956,Found,1/1/98 00:00,27.51617,16.28333
Dar al Gani 412,5960,Valid,CK5,946,Found,1/1/98 00:00,27.347,16.08833
Dar al Gani 427,5975,Valid,L6,942,Found,1/1/98 00:00,27.35817,16.43233
Dar al Gani 849,6396,Valid,L5,933,Found,1/1/98 00:00,26.88333,16.68817
ShiÅôr 024,23559,Valid,L5,900.84,Found,1/1/98 00:00,18.55473,53.99687
Dar al Gani 439,5987,Valid,L6,867,Found,1/1/98 00:00,27.829,15.928
Dar al Gani 745,6292,Valid,LL6,866,Found,1/1/98 00:00,27.305,16.20167
Dar al Gani 457,6005,Valid,L6,855,Found,1/1/98 00:00,27.80733,15.93767
ShiÅôr 023,23558,Valid,L5,841,Found,1/1/98 00:00,18.55287,53.98743
Dar al Gani 456,6004,Valid,L6,838,Found,1/1/98 00:00,27.79783,15.94167
Dar al Gani 869,6416,Valid,H4/5,836,Found,1/1/98 00:00,27.09317,16.04933
ShiÅôr 028,23563,Valid,LL6,818.11,Found,1/1/98 00:00,18.14277,53.80753
Dar al Gani 599,6146,Valid,LL6,781,Found,1/1/98 00:00,26.916,16.67317
Graves Nunataks 98098,11090,Valid,Eucrite-unbr,779.2,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 465,6013,Valid,L6,777,Found,1/1/98 00:00,28.01483,15.86267
Dos Cabezas,7721,Valid,L5,755,Found,1/1/98 00:00,32.295,-109.67
Dar al Gani 462,6010,Valid,L6,740,Found,1/1/98 00:00,28.01517,15.86367
Graves Nunataks 98002,10994,Valid,H5,735.4,Found,1/1/98 00:00,-86.71667,-141.5
Graves Nunataks 98004,10996,Valid,H5,721.9,Found,1/1/98 00:00,-86.71667,-141.5
Graves Nunataks 98048,11040,Valid,H6,702.1,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 422,5970,Valid,L6,702,Found,1/1/98 00:00,27.86383,15.87017
Graves Nunataks 98013,11005,Valid,H4,697.5,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 609,6156,Valid,Eucrite-mmict,696,Found,1/1/98 00:00,26.8855,16.58017
Elbert,7822,Valid,LL6,680.5,Fell,1/1/98 00:00,39.24667,-104.58817
Dar al Gani 597,6144,Valid,H5,672,Found,1/1/98 00:00,26.83583,16.6265
Dar al Gani 403,5951,Valid,L6,665,Found,1/1/98 00:00,27.76383,15.91083
Dar al Gani 573,6120,Valid,L4,661.9,Found,1/1/98 00:00,27.39883,16.1595
Graves Nunataks 98046,11038,Valid,L6,657.6,Found,1/1/98 00:00,-86.71667,-141.5
Dhofar 1001,6801,Valid,L6,606.97,Found,1/1/98 00:00,18.55577,54.00077
Dar al Gani 410,5958,Valid,H5,605,Found,1/1/98 00:00,27.3725,16.24017
Graves Nunataks 98047,11039,Valid,H5,594.1,Found,1/1/98 00:00,-86.71667,-141.5
Dar al Gani 875,6422,Valid,H5,585,Found,1/1/98 00:00,26.9195,16.68
Dar al Gani 404,5952,Valid,L6,585,Found,1/1/98 00:00,27.83767,15.91333
Dar al Gani 409,5957,Valid,L6,584,Found,1/1/98 00:00,27.82383,15.8785
Dar al Gani 430,5978,Valid,C3-ung,572,Found,1/1/98 00:00,27.27933,16.41167
Dar al Gani 613,6160,Valid,LL4,566,Found,1/1/98 00:00,27.039,16.26117
Dar al Gani 749,6296,Valid,CO3,95000,Found,1/1/99 00:00,27.30167,15.7645
Lahmada 009,12422,Valid,H3-6,70000,Found,1/1/99 00:00,27.16667,-9.5
Hammadah al Hamra 328,11811,Valid,H5,30440,Found,1/1/99 00:00,28.95833,10.59167
Hagersville,11470,Valid,"Iron, IAB complex",30000,Found,1/1/99 00:00,42.96667,-80.15
Bilanga,5045,Valid,Diogenite,25000,Fell,1/1/99 00:00,12.45,-0.08333
Queen Alexandra Range 99001,21454,Valid,Iron,22000,Found,1/1/99 00:00,-84,168
Twodot,24093,Valid,H6,21400,Found,1/1/99 00:00,46.7,-110.13333
Dhofar 007,6706,Valid,Eucrite-cm,21270,Found,1/1/99 00:00,18.335,54.18167
Dar al Gani 779,6326,Valid,Howardite,18800,Found,1/1/99 00:00,26.99233,16.4375
Dar al Gani 955,6495,Valid,H6,18500,Found,1/1/99 00:00,27.13183,16.20767
Morrow County,51707,Valid,L6,18200,Found,1/1/99 00:00,45.5,-119.5
Kalahari 009,30738,Valid,Lunar (basalt),13500,Found,1/1/99 00:00,-20.9818,22.9766
Great Sand Sea 019,11190,Valid,LL6,12000,Found,1/1/99 00:00,25.53667,25.65778
Jiddat al Harasis 003,12091,Valid,L5,10830,Found,1/1/99 00:00,19.53,55.75833
Dhofar 069,6768,Valid,H4,10083,Found,1/1/99 00:00,19.15867,54.731
Djoumine,7657,Valid,H5-6,10000,Fell,1/1/99 00:00,36.95,9.55
Northwest Africa 778,17849,Valid,H4,9747,Found,1/1/99 00:00,29.41667,-5.26667
Dhofar 058,6757,Valid,H4,8852,Found,1/1/99 00:00,19.17067,54.75967
Sayh al Uhaymir 008,23200,Valid,Martian (shergottite),8579,Found,1/1/99 00:00,20.9805,57.319
